aNavMode Benchmark Report — Round 1
Date:   2026-03-24 16:19
Device: Topicon T865
Origin: 49.33162, 8.64334
Run:    5s per config, 2s settle, 48 configs

#   threads cache  ovrd  tile zoom fps   | avgFPS  minFPS  jank  jank%
------------------------------------------------------------------------------
1   4       1x     1.2   256  17   max   | 14.8    10.0    73    98.6%
2   1       2x     1.0   256  17   max   | 14.4    12.0    71    98.6%
3   2       1x     1.2   256  17   max   | 14.4    12.0    71    98.6%
4   4       1x     1.2   512  17   max   | 14.2    10.0    70    98.6%
5   2       2x     1.2   512  17   max   | 14.2    10.0    69    97.2%
6   4       2x     1.2   512  17   max   | 14.2    8.6     70    98.6%
7   2       2x     1.0   512  17   max   | 14.0    12.0    69    98.6%
8   4       2x     1.0   512  17   max   | 13.8    8.6     68    98.6%
9   1       2x     1.2   512  17   max   | 13.8    12.0    68    98.6%
10  4       1x     1.2   512  14   max   | 13.6    8.6     67    98.5%
11  1       1x     1.2   256  17   max   | 13.6    10.0    67    98.5%
12  1       2x     1.0   512  17   max   | 13.6    12.0    67    98.5%
13  4       2x     1.0   512  14   max   | 13.4    8.6     66    98.5%
14  4       2x     1.2   512  14   max   | 13.4    8.6     66    98.5%
15  1       1x     1.2   512  17   max   | 13.4    10.0    66    98.5%
16  2       2x     1.0   512  14   max   | 13.2    8.6     65    98.5%
17  2       1x     1.2   512  17   max   | 13.2    12.0    65    98.5%
18  2       2x     1.2   512  14   max   | 13.0    10.0    64    98.5%
19  2       1x     1.2   512  14   max   | 12.8    8.6     63    98.4%
20  4       1x     1.0   256  17   max   | 12.8    12.0    63    98.4%
21  1       2x     1.2   512  14   max   | 12.6    10.0    62    98.4%
22  1       1x     1.0   256  17   max   | 12.6    12.0    62    98.4%
23  2       1x     1.0   256  17   max   | 12.6    10.0    62    98.4%
24  4       2x     1.0   256  17   max   | 12.6    10.0    62    98.4%
25  1       2x     1.2   256  17   max   | 12.6    12.0    62    98.4%
26  4       2x     1.2   256  17   max   | 12.6    10.0    62    98.4%
27  1       2x     1.0   512  14   max   | 12.4    10.0    61    98.4%
28  1       1x     1.0   512  17   max   | 12.4    10.0    61    98.4%
29  2       1x     1.0   512  17   max   | 12.4    10.0    61    98.4%
30  2       2x     1.0   256  17   max   | 12.2    6.7     60    98.4%
31  1       1x     1.0   512  14   max   | 12.0    10.0    59    98.3%
32  2       1x     1.0   512  14   max   | 12.0    8.6     59    98.3%
33  1       1x     1.2   512  14   max   | 12.0    10.0    59    98.3%
34  4       1x     1.0   512  17   max   | 12.0    10.0    59    98.3%
35  1       1x     1.2   256  14   max   | 11.8    10.0    58    98.3%
36  1       2x     1.2   256  14   max   | 11.8    10.0    58    98.3%
37  4       1x     1.0   512  14   max   | 11.8    8.6     58    98.3%
38  1       2x     1.0   256  14   max   | 11.4    10.0    56    98.2%
39  2       1x     1.2   256  14   max   | 11.2    8.6     55    98.2%
40  2       2x     1.2   256  17   max   | 11.2    8.6     55    98.2%
41  2       2x     1.2   256  14   max   | 10.4    8.6     51    98.1%
42  2       2x     1.0   256  14   max   | 9.8     8.6     48    98.0%
43  4       1x     1.2   256  14   max   | 9.8     7.5     48    98.0%
44  4       2x     1.2   256  14   max   | 9.8     7.5     48    98.0%
45  2       1x     1.0   256  14   max   | 9.2     7.5     45    97.8%
46  1       1x     1.0   256  14   max   | 9.0     6.7     44    97.8%
47  4       2x     1.0   256  14   max   | 8.4     6.7     41    97.6%
48  4       1x     1.0   256  14   max   | 7.2     6.7     35    97.2%

Best: threads=4, cache=1x, overdraw=1.2, tileSize=256, zoom=17, fps=max → 14.8 avg FPS
