aNavMode Benchmark Report — Round 2
Date:   2026-03-24 16:10
Device: Topicon T865
Origin: 49.29228, 8.64432
Run:    5s per config, 2s settle, 38 configs

#   threads cache  ovrd  tile zoom fps   | avgFPS  minFPS  jank  jank%
------------------------------------------------------------------------------
1   6       2x     1.2   768  17   max   | 16.0    12.1    79    98.8%
2   8       2x     1.2   768  17   max   | 16.0    11.7    79    98.8%
3   6       2x     1.2   512  17   max   | 15.8    15.0    78    98.7%
4   8       2x     1.2   512  17   max   | 15.8    12.2    78    98.7%
5   4       2x     1.2   768  17   max   | 15.8    12.3    78    98.7%
6   4       2x     1.2   1024 17   max   | 15.8    14.9    78    98.7%
7   6       2x     1.2   1024 17   max   | 15.8    11.9    78    98.7%
8   4       2x     1.2   512  17   max   | 15.4    11.9    76    98.7%
9   8       2x     1.2   1024 17   max   | 14.0    12.0    69    98.6%
10  4       2x     1.2   768  17   30    | 12.8    8.5     63    98.4%
11  8       2x     1.2   1024 17   30    | 12.8    10.0    63    98.4%
12  8       2x     1.2   512  17   30    | 12.6    10.2    62    98.4%
13  8       2x     1.2   768  17   30    | 12.6    8.1     62    98.4%
14  4       2x     1.2   1024 17   30    | 12.6    10.4    62    98.4%
15  6       2x     1.2   768  17   30    | 12.2    10.1    60    98.4%
16  6       2x     1.2   1024 17   30    | 12.2    7.6     60    98.4%
17  4       2x     1.2   512  17   30    | 11.6    9.4     57    98.3%
18  2       2x     1.2   768  14   max   | 11.4    8.2     56    98.2%
19  4       2x     1.5   512  17   max   | 11.4    9.3     56    98.2%
20  1       2x     1.2   768  14   max   | 11.2    10.2    55    98.2%
21  2       2x     1.2   768  14   30    | 11.2    8.7     55    98.2%
22  1       2x     1.2   512  14   max   | 10.6    8.9     52    98.1%
23  1       2x     1.2   512  14   30    | 10.6    8.6     52    98.1%
24  1       2x     1.2   768  14   30    | 10.2    7.1     50    98.0%
25  4       2x     2.0   512  17   max   | 10.2    6.7     50    98.0%
26  6       2x     1.2   512  17   30    | 9.8     7.4     48    98.0%
27  2       2x     1.2   512  14   max   | 9.8     7.1     48    98.0%
28  1       2x     1.2   256  14   max   | 9.6     7.1     47    97.9%
29  1       2x     1.2   256  14   30    | 9.6     8.1     47    97.9%
30  2       2x     1.2   512  14   30    | 9.0     6.6     44    97.8%
31  4       2x     1.2   512  17   max   | 8.8     6.2     43    97.7%
32  2       2x     1.2   256  14   max   | 8.2     7.1     40    97.6%
33  2       2x     1.2   256  14   30    | 8.2     7.1     40    97.6%
34  4       2x     3.0   512  17   max   | 7.6     5.6     37    97.4%
35  4       2x     1.2   512  17   30    | 7.4     5.6     36    97.3%
36  4       2x     1.5   512  17   30    | 7.0     5.2     34    97.1%
37  4       2x     2.0   512  17   30    | 6.8     5.4     33    97.1%
38  4       2x     3.0   512  17   30    | 6.8     5.4     33    97.1%

Best: threads=6, cache=2x, overdraw=1.2, tileSize=768, zoom=17, fps=max → 16.0 avg FPS
